f,v
190.34,-4.6129
167.83,-2.81233
155.478,-5.41191
158.121,5.36333
11.5364,8.77507
190.506,4.60719
115.591,-6.08924
193.114,3.48364
149.794,2.46749
170.863,-5.11299
163.618,-2.72751
197.225,3.69087
164.606,2.7471
177.228,3.01766
183.843,4.80822
184.53,-4.78956
107.134,-6.22997
199.524,-4.02096
176.149,4.99754
147.393,-5.55585
63.3179,0.684356
152.485,2.51648
111.978,6.14918
91.4305,-6.49815
176.911,-4.98007
144.577,5.60467
72.3119,6.84912
183.827,3.18323
166.272,-5.20689
199.226,3.88503
180.364,4.89776
174.866,-5.02643
164.195,2.73894
193.097,3.48292
126.037,5.91646
51.7954,7.28435
190.217,-4.6171
198.997,-3.8495
194.373,-3.5375
85.6557,6.60052
143.187,-5.62858
94.6145,-1.47515
173.665,-2.93661
167.825,5.17568
80.0634,1.16303
120.112,-1.94582
58.9097,0.495008
179.139,4.92761
164.612,-5.23971
158.088,2.62074
54.074,0.0640422
114.129,-1.83989
187.753,3.29623
9.11271,-8.9687
57.2361,-0.401481
195.369,3.5848
5.77798,-9.32287
165.661,5.21902
127.84,-2.08094
144.746,5.60176
89.5743,-6.53078
94.9305,1.48142
96.792,6.40517
54.6938,-0.18643
134.833,2.20273
116.934,-1.88977
76.6751,1.08107
192.253,4.54385
176.099,4.99867
187.471,4.70501
106.282,1.69774
162.841,2.71223
133.296,-5.79579
186.577,-3.26083
156.818,2.5968
24.713,8.08738
164.737,5.23725
75.115,6.79521
195.853,-3.60974
163.292,-2.72109
199.515,4.0281
9.89221,-8.90218
152.799,2.52225
132.721,-5.80539
52.1579,7.27584
199.532,3.98176
129.44,5.86002
187.23,4.71226
199.143,-4.12351
142.655,5.63768
183.118,4.82754
134.225,2.19213
170.4,5.12269
186.486,-3.25817
107.817,-1.72592
30.283,-7.88338
199.496,3.95625
197.854,-4.2583
197.222,-4.30363
189.437,3.3498
1.23486,10.3779
121.926,-1.97767
127.603,-5.89051
196.637,-4.34033
199.184,-4.11681
0.46801,-10.9598
128.826,-2.09811
154.318,2.55022
188.982,4.65791
93.3632,-1.45014
183.591,-3.17684
151.978,5.47499
199.463,-4.05255
199.176,4.11823
81.2881,1.19155
147.632,-2.42854
172.393,-5.08048
159.695,2.65132
